Tanggal,Tn,Tx,Tavg,kelembaban,curah_hujan,matahari,kecepatan_angin,kecepatan_angin,,
27-01-2016,22,31.8,27.1,89,0,0.7,2,350,,
28-01-2016,21,31.2,26.4,90,61.1,5.1,2,140,,
29-01-2016,22,31.6,26.9,91,0,1,2,73,,
30-01-2016,22,30.2,26.5,93,0.4,6.4,2,50,,
31-01-2016,22,32,27.1,90,0,1,2,50,,
01-02-2016,22,32,27.5,90,1.5,3.4,2,150,,
02-02-2016,22,32,27.6,82,0,6.6,3,55,,
03-02-2016,22,32,27.4,91,3.5,1,2,65,,
04-02-2016,22,31.4,27.5,75,0,1,4,76,,
05-02-2016,22,35,26.5,88,5.9,9.3,4,30,,
06-02-2016,23,31.6,27.1,88,0.7,0.7,3,50,,
07-02-2016,23,35,27.3,83,0,4.2,4,60,,
08-02-2016,20,31.8,26.8,89,0,6,4,60,,
09-02-2016,21,31.8,26.4,86,0,4.6,5,27,,
10-02-2016,22,31.8,27.7,90,0,1,3,40,,
11-02-2016,23,31.4,27.5,75,0,4,4,50,,
12-02-2016,23,31.6,27.2,86,0,0.2,2,50,,
13-02-2016,23,35,26.7,86,0,1,3,110,,
14-02-2016,22,35,26.4,92,4.8,1,3,70,,
15-02-2016,22,29,25.2,98,0,1,2,50,,
16-02-2016,22,30,25.8,95,11.2,1,2,145,,
17-02-2016,22,28.9,25.7,96,10.1,1.1,2,65,,
18-02-2016,22,30.4,25.9,93,9.2,1.1,2,60,,
19-02-2016,22,30.8,26.6,85,5.3,1,1,210,,
20-02-2016,21,31,26.4,84,0,1,3,110,,
21-02-2016,22,31.8,27.5,75,0,5.9,2,22,,
22-02-2016,21,31.8,27.3,81,1.9,6.3,2,304,,
23-02-2016,21,31.8,26.7,86,1.9,6.3,3,54,,
24-02-2016,21,31.8,26.6,90,2.1,5.4,4,74,,
25-02-2016,22,30.2,27,88,9.6,3.5,3,70,,
26-02-2016,22,31.8,26.6,92,0.4,2.6,2,225,,
27-02-2016,23,31.8,26.8,92,0.3,4,3,76,,
28-02-2016,21,31.8,27.2,85,0,5.2,3,68,,
29-02-2016,22,32,27.6,87,0,6.8,3,93,,
01-03-2016,22,31.4,27.2,87,0,7.7,3,63,,
02-03-2016,23,31.8,27.7,89,0,3.6,3,107,,
03-03-2016,23,31.2,26.6,95,0,5.3,2,50,,
04-03-2016,22,35,26.6,91,0.4,2.4,2,180,,
05-03-2016,21,31.6,26.2,93,5.5,2.8,4,51,,
06-03-2016,23,31,27.2,92,0,4.2,4,72,,
07-03-2016,23,31.4,27.2,91,0,4.1,5,45,,
08-03-2016,23,31.8,27.3,88,0.2,4.5,2,61,,
09-03-2016,20,31.8,27.2,91,3.9,3.8,3,70,,
10-03-2016,23,30.8,27.6,92,0,4.3,2,144,,
11-03-2016,20,30.8,26.4,96,3.6,1,3,41,,
12-03-2016,22,30.8,25.3,95,0.1,3.3,3,18,,
13-03-2016,20,35,26.6,90,10.4,1.2,3,61,,
14-03-2016,22,32.8,27.1,86,0,5.5,3,18,,
15-03-2016,22,31.8,26.8,90,0,6.2,2,313,,
16-03-2016,23,31.6,27,91,0.3,4.1,3,125,,
17-03-2016,22,32.8,28,85,1.1,2,2,157,,
18-03-2016,23,32.8,27.3,83,0,4.5,4,25,,
19-03-2016,22,31.8,27.1,90,1.6,7.8,3,74,,
20-03-2016,23,31.8,27,91,1.1,1,2,220,,
21-03-2016,23,31.8,27.5,85,0,0.8,2,285,,
22-03-2016,23,30.8,26.4,96,0,1.8,2,50,,
23-03-2016,22,30.4,27.5,89,11.7,1.1,3,15,,
24-03-2016,23,31.2,27,93,0.4,2.8,3,50,,
25-03-2016,22,31,26.4,91,1.2,3.3,2,50,,
26-03-2016,22,30.3,26.4,92,7.9,1,1,135,,
27-03-2016,21,31.2,26.6,90,39.1,4.3,2,50,,
28-03-2016,22,31.2,26.7,88,6.4,5.1,2,285,,
29-03-2016,23,31,26.9,92,2.5,7,3,315,,
30-03-2016,23,29,25.8,98,2.2,3.7,2,50,,
31-03-2016,23,31,26.6,93,25,0.5,3,340,,
01-04-2016,23,30.8,26.7,94,5.5,1.7,2,70,,
02-04-2016,22,30.8,26.6,93,4.6,5.6,4,69,,
03-04-2016,23,30.4,26.9,91,1.3,4,3,50,,
04-04-2016,23,31,27.8,88,0,2.6,3,285,,
05-04-2016,21,31.2,27,78,1.5,3.5,3,60,,
06-04-2016,21,31.6,27.4,83,0,9.8,4,81,,
07-04-2016,22,31.6,28.1,84,0,10,3,57,,
08-04-2016,22,29.2,26.5,94,0,8.8,2,210,,
